field_id,name,type,is_identifier,required,doc,partition_transform,source_name,comment
333,interval5_13_45_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 13:45",,当日実績(5分間隔値)(万kW),
334,interval5_13_45_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 13:45",,太陽光発電実績(5分間値)(万kW),
335,interval5_13_50_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 13:50",,当日実績(5分間隔値)(万kW),
336,interval5_13_50_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 13:50",,太陽光発電実績(5分間値)(万kW),
337,interval5_13_55_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 13:55",,当日実績(5分間隔値)(万kW),
338,interval5_13_55_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 13:55",,太陽光発電実績(5分間値)(万kW),
339,interval5_14_00_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 14:00",,当日実績(5分間隔値)(万kW),
340,interval5_14_00_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 14:00",,太陽光発電実績(5分間値)(万kW),
341,interval5_14_05_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 14:05",,当日実績(5分間隔値)(万kW),
342,interval5_14_05_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 14:05",,太陽光発電実績(5分間値)(万kW),
343,interval5_14_10_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 14:10",,当日実績(5分間隔値)(万kW),
344,interval5_14_10_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 14:10",,太陽光発電実績(5分間値)(万kW),
345,interval5_14_15_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 14:15",,当日実績(5分間隔値)(万kW),
346,interval5_14_15_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 14:15",,太陽光発電実績(5分間値)(万kW),
347,interval5_14_20_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 14:20",,当日実績(5分間隔値)(万kW),
348,interval5_14_20_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 14:20",,太陽光発電実績(5分間値)(万kW),
349,interval5_14_25_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 14:25",,当日実績(5分間隔値)(万kW),
350,interval5_14_25_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 14:25",,太陽光発電実績(5分間値)(万kW),
351,interval5_14_30_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 14:30",,当日実績(5分間隔値)(万kW),
352,interval5_14_30_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 14:30",,太陽光発電実績(5分間値)(万kW),
353,interval5_14_35_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 14:35",,当日実績(5分間隔値)(万kW),
354,interval5_14_35_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 14:35",,太陽光発電実績(5分間値)(万kW),
355,interval5_14_40_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 14:40",,当日実績(5分間隔値)(万kW),
356,interval5_14_40_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 14:40",,太陽光発電実績(5分間値)(万kW),
357,interval5_14_45_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 14:45",,当日実績(5分間隔値)(万kW),
358,interval5_14_45_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 14:45",,太陽光発電実績(5分間値)(万kW),
359,interval5_14_50_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 14:50",,当日実績(5分間隔値)(万kW),
360,interval5_14_50_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 14:50",,太陽光発電実績(5分間値)(万kW),
361,interval5_14_55_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 14:55",,当日実績(5分間隔値)(万kW),
362,interval5_14_55_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 14:55",,太陽光発電実績(5分間値)(万kW),
363,interval5_15_00_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 15:00",,当日実績(5分間隔値)(万kW),
364,interval5_15_00_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 15:00",,太陽光発電実績(5分間値)(万kW),
365,interval5_15_05_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 15:05",,当日実績(5分間隔値)(万kW),
366,interval5_15_05_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 15:05",,太陽光発電実績(5分間値)(万kW),
367,interval5_15_10_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 15:10",,当日実績(5分間隔値)(万kW),
368,interval5_15_10_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 15:10",,太陽光発電実績(5分間値)(万kW),
369,interval5_15_15_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 15:15",,当日実績(5分間隔値)(万kW),
370,interval5_15_15_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 15:15",,太陽光発電実績(5分間値)(万kW),
371,interval5_15_20_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 15:20",,当日実績(5分間隔値)(万kW),
372,interval5_15_20_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 15:20",,太陽光発電実績(5分間値)(万kW),
373,interval5_15_25_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 15:25",,当日実績(5分間隔値)(万kW),
374,interval5_15_25_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 15:25",,太陽光発電実績(5分間値)(万kW),
375,interval5_15_30_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 15:30",,当日実績(5分間隔値)(万kW),
376,interval5_15_30_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 15:30",,太陽光発電実績(5分間値)(万kW),
377,interval5_15_35_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 15:35",,当日実績(5分間隔値)(万kW),
378,interval5_15_35_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 15:35",,太陽光発電実績(5分間値)(万kW),
379,interval5_15_40_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 15:40",,当日実績(5分間隔値)(万kW),
380,interval5_15_40_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 15:40",,太陽光発電実績(5分間値)(万kW),
381,interval5_15_45_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 15:45",,当日実績(5分間隔値)(万kW),
382,interval5_15_45_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 15:45",,太陽光発電実績(5分間値)(万kW),
383,interval5_15_50_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 15:50",,当日実績(5分間隔値)(万kW),
384,interval5_15_50_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 15:50",,太陽光発電実績(5分間値)(万kW),
385,interval5_15_55_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 15:55",,当日実績(5分間隔値)(万kW),
