field_id,name,type,is_identifier,required,doc,partition_transform,source_name,comment
1,delivery_datetime,timestamptz,TRUE,TRUE,Delivery date,hour,受渡日時,
2,block_selling_bid_volume,long,FALSE,FALSE,Block selling bid volume (kWh),,売りブロック入札総量(kWh),
3,block_selling_contracted_volume,long,FALSE,FALSE,Block selling contracted volume (kWh),,売りブロック約定総量(kWh),
4,block_purchase_bid_volume,long,FALSE,FALSE,Block purchase bid volume (kWh),,買いブロック入札総量(kWh),
5,block_purchase_contracted_volume,long,FALSE,FALSE,Block purchase contracted volume (kWh),,買いブロック約定総量(kWh),
